38 	 53 
3 	 17 
29 	 69 
42 	 2 
30 	 88 
31 	 76 
6 	 84 
33 	 30 
42 	 38 
37 	 96 
17 	 67 
37 	 32 
23 	 88 
4 	 63 
10 	 93 
33 	 47 
17 	 59 
39 	 48 
34 	 44 
13 	 49 
50 	 84 
13 	 59 
19 	 100 
20 	 91 
43 	 70 
41 	 25 
11 	 85 
47 	 100 
23 	 70 
34 	 72 
25 	 37 
26 	 50 
39 	 63 
14 	 3 
45 	 63 
8 	 85 
27 	 3 
25 	 89 
6 	 20 
40 	 70 
16 	 99 
28 	 57 
21 	 21 
41 	 6 
38 	 21 
26 	 12 
7 	 52 
35 	 13 
47 	 65 
34 	 36 
38 	 60 
9 	 92 
18 	 6 
13 	 46 
32 	 44 
14 	 6 
16 	 19 
11 	 12 
45 	 58 
28 	 42 
10 	 64 
10 	 61 
17 	 4 
5 	 47 
39 	 53 
34 	 25 
26 	 87 
8 	 49 
14 	 46 
50 	 96 
4 	 42 
31 	 4 
20 	 46 
49 	 6 
5 	 73 
26 	 39 
1 	 88 
47 	 48 
6 	 48 
23 	 65 
22 	 45 
29 	 97 
47 	 48 
18 	 94 
22 	 95 
8 	 99 
26 	 75 
13 	 85 
25 	 21 
28 	 42 
25 	 39 
47 	 91 
48 	 36 
21 	 25 
4 	 6 
19 	 88 
46 	 60 
22 	 83 
31 	 62 
38 	 18 
4 	 92 
25 	 45 
29 	 28 
5 	 59 
2 	 38 
50 	 21 
15 	 42 
46 	 15 
37 	 13 
49 	 57 
24 	 73 
37 	 90 
34 	 13 
30 	 91 
9 	 44 
34 	 84 
27 	 21 
48 	 8 
50 	 84 
15 	 26 
16 	 9 
38 	 86 
28 	 29 
37 	 30 
36 	 30 
47 	 51 
30 	 41 
3 	 54 
36 	 29 
12 	 11 
8 	 18 
33 	 69 
35 	 10 
34 	 36 
37 	 11 
27 	 98 
6 	 39 
5 	 82 
22 	 84 
10 	 63 
42 	 65 
14 	 95 
15 	 59 
24 	 57 
42 	 94 
25 	 44 
35 	 50 
26 	 30 
21 	 57 
11 	 53 
4 	 80 
18 	 48 
28 	 35 
26 	 48 
33 	 20 
22 	 76 
43 	 48 
27 	 32 
47 	 4 
34 	 88 
1 	 21 
27 	 46 
42 	 9 
35 	 100 
19 	 80 
3 	 93 
8 	 5 
45 	 85 
14 	 39 
37 	 33 
20 	 8 
48 	 24 
34 	 78 
43 	 56 
18 	 92 
11 	 76 
18 	 44 
5 	 15 
43 	 51 
50 	 100 
8 	 94 
23 	 64 
32 	 8 
40 	 54 
36 	 81 
32 	 31 
11 	 17 
37 	 35 
7 	 61 
26 	 31 
15 	 2 
2 	 59 
43 	 37 
5 	 86 
48 	 30 
14 	 91 
29 	 7 
16 	 24 
36 	 14 
15 	 56 
42 	 67 
35 	 50 
20 	 93 
40 	 14 
45 	 67 
23 	 37 
48 	 31 
19 	 67 
43 	 59 
33 	 62 
6 	 30 
31 	 31 
9 	 53 
29 	 94 
17 	 62 
38 	 1 
46 	 77 
25 	 1 
23 	 52 
45 	 74 
29 	 28 
11 	 43 
43 	 73 
31 	 32 
20 	 26 
13 	 64 
15 	 30 
35 	 76 
4 	 36 
34 	 88 
31 	 50 
15 	 78 
36 	 7 
28 	 9 
45 	 3 
28 	 92 
17 	 40 
3 	 1 
47 	 20 
39 	 27 
2 	 99 
13 	 7 
43 	 83 
22 	 93 
2 	 8 
14 	 76 
30 	 99 
33 	 59 
43 	 17 
21 	 56 
15 	 98 
12 	 86 
18 	 10 
16 	 67 
41 	 96 
47 	 26 
41 	 7 
25 	 6 
6 	 31 
36 	 4 
38 	 70 
18 	 62 
10 	 47 
22 	 19 
18 	 16 
49 	 45 
25 	 100 
42 	 24 
49 	 15 
8 	 47 
24 	 6 
2 	 92 
27 	 93 
16 	 99 
19 	 35 
32 	 55 
21 	 95 
21 	 97 
20 	 61 
23 	 84 
33 	 72 
4 	 89 
13 	 87 
23 	 52 
35 	 89 
16 	 67 
6 	 14 
49 	 86 
